songid,title,artist,genre,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,
319,Easy Love,Sigala,dance pop,2015,124,94,68,-4,12,65,230,18,6,67,0
322,BO$$,Fifth Harmony,dance pop,2015,103,87,81,-5,5,74,171,1,11,66,0
323,Sugar,Maroon 5,pop,2015,120,79,75,-7,9,88,235,6,3,66,0
324,Focus,Ariana Grande,dance pop,2015,100,88,67,-6,44,79,211,27,24,66,0
325,All About That Bass,Meghan Trainor,dance pop,2015,134,88,81,-4,11,96,189,5,5,65,0
327,Love Me Like You,Little Mix,dance pop,2015,106,67,79,-4,28,85,198,21,4,65,0
328,Broken Arrows,Avicii,big room,2015,116,67,63,-7,10,29,233,5,5,65,0
332,Lay It All on Me,Rudimental,dance pop,2015,123,75,67,-7,19,48,242,14,4,62,0
335,Reality - Radio Edit,Lost Frequencies,belgian edm,2015,122,70,71,-8,7,60,159,2,3,61,0
337,Sugar (feat. Francesco Yates),Robin Schulz,dance pop,2015,123,82,64,-5,16,64,219,2,6,60,0
339,Prayer in C - Robin Schulz Radio Edit,Lilly Wood and The Prick,french indie pop,2015,123,89,76,-5,62,78,189,2,3,58,0
341,Heroes (we could be),Alesso,big room,2015,126,75,52,-4,24,35,210,4,6,56,0
343,Perfect,One Direction,boy band,2015,100,82,65,-5,12,40,230,6,8,55,0
349,Don't Be so Hard on Yourself,Jess Glynne,dance pop,2015,120,82,57,-3,16,66,211,6,3,52,0
350,Steal My Girl,One Direction,boy band,2015,77,76,47,-6,14,52,227,0,4,51,0
353,St Jude,Florence + The Machine,art pop,2015,117,43,26,-11,11,9,225,75,3,47,0
363,L.A.LOVE (la la),Fergie,dance pop,2015,202,39,48,-8,26,27,193,2,9,0,0
364,The Hills,The Weeknd,canadian contemporary r&b,2016,113,56,58,-7,14,14,242,7,5,84,0
366,Cake By The Ocean,DNCE,dance pop,2016,119,75,77,-5,4,90,219,15,5,81,0
367,Don't Let Me Down,The Chainsmokers,electropop,2016,160,87,53,-5,14,42,208,16,17,81,0
368,In the Name of Love,Martin Garrix,big room,2016,134,52,50,-6,45,17,196,11,4,81,0
369,Into You,Ariana Grande,dance pop,2016,108,73,62,-6,14,37,244,2,11,80,0
373,7 Years,Lukas Graham,danish pop,2016,120,47,77,-6,39,34,237,29,5,80,0
